id,name,gss_code
ocd-division/country:gb/part:wls/nawc:ynys_mon,Ynys Mon,W09000001
ocd-division/country:gb/part:wls/nawc:arfon,Arfon,W09000002
ocd-division/country:gb/part:wls/nawc:aberconwy,Aberconwy,W09000003
ocd-division/country:gb/part:wls/nawc:clwyd_west,Clwyd West,W09000004
ocd-division/country:gb/part:wls/nawc:vale_of_clwyd,Vale of Clwyd,W09000005
ocd-division/country:gb/part:wls/nawc:delyn,Delyn,W09000006
ocd-division/country:gb/part:wls/nawc:alyn_and_deeside,Alyn and Deeside,W09000007
ocd-division/country:gb/part:wls/nawc:wrexham,Wrexham,W09000008
ocd-division/country:gb/part:wls/nawc:clwyd_south,Clwyd South,W09000009
ocd-division/country:gb/part:wls/nawc:dwyfor_meirionnydd,Dwyfor Meirionnydd,W09000010
ocd-division/country:gb/part:wls/nawc:montgomeryshire,Montgomeryshire,W09000011
ocd-division/country:gb/part:wls/nawc:ceredigion,Ceredigion,W09000012
ocd-division/country:gb/part:wls/nawc:preseli_pembrokeshire,Preseli Pembrokeshire,W09000014
ocd-division/country:gb/part:wls/nawc:carmarthen_east_and_dinefwr,Carmarthen East and Dinefwr,W09000015
ocd-division/country:gb/part:wls/nawc:carmarthen_west_and_south_pembrokeshire,Carmarthen West and South Pembrokeshire,W09000016
ocd-division/country:gb/part:wls/nawc:llanelli,Llanelli,W09000017
ocd-division/country:gb/part:wls/nawc:gower,Gower,W09000018
ocd-division/country:gb/part:wls/nawc:rhondda,Rhondda,W09000025
ocd-division/country:gb/part:wls/nawc:cynon_valley,Cynon Valley,W09000026
ocd-division/country:gb/part:wls/nawc:cardiff_west,Cardiff West,W09000029
ocd-division/country:gb/part:wls/nawc:cardiff_central,Cardiff Central,W09000031
ocd-division/country:gb/part:wls/nawc:monmouth,Monmouth,W09000034
ocd-division/country:gb/part:wls/nawc:caerphilly,Caerphilly,W09000035
ocd-division/country:gb/part:wls/nawc:islwyn,Islwyn,W09000036
ocd-division/country:gb/part:wls/nawc:torfaen,Torfaen,W09000037
ocd-division/country:gb/part:wls/nawc:blaenau_gwent,Blaenau Gwent,W09000038
ocd-division/country:gb/part:wls/nawc:newport_west,Newport West,W09000039
ocd-division/country:gb/part:wls/nawc:newport_east,Newport East,W09000040
ocd-division/country:gb/part:wls/nawc:brecon_and_radnorshire,Brecon and Radnorshire,W09000041
ocd-division/country:gb/part:wls/nawc:cardiff_north,Cardiff North,W09000042
ocd-division/country:gb/part:wls/nawc:cardiff_south_and_penarth,Cardiff South and Penarth,W09000043
ocd-division/country:gb/part:wls/nawc:merthyr_tydfil_and_rhymney,Merthyr Tydfil and Rhymney,W09000044
ocd-division/country:gb/part:wls/nawc:ogmore,Ogmore,W09000045
ocd-division/country:gb/part:wls/nawc:pontypridd,Pontypridd,W09000046
ocd-division/country:gb/part:wls/nawc:vale_of_glamorgan,Vale of Glamorgan,W09000047
ocd-division/country:gb/part:wls/nawc:swansea_west,Swansea West,W09000019
ocd-division/country:gb/part:wls/nawc:swansea_east,Swansea East,W09000020
ocd-division/country:gb/part:wls/nawc:neath,Neath,W09000021
ocd-division/country:gb/part:wls/nawc:aberavon,Aberavon,W09000022
ocd-division/country:gb/part:wls/nawc:bridgend,Bridgend,W09000023
