id,name
ocd-division/country:ke,Kenya
ocd-division/country:ke/county:01,Baringo
ocd-division/country:ke/county:01/ed:baringo_central,Baringo Central
ocd-division/country:ke/county:01/ed:baringo_north,Baringo North
ocd-division/country:ke/county:01/ed:baringo_south,Baringo South
ocd-division/country:ke/county:01/ed:eldama_ravine,Eldama Ravine
ocd-division/country:ke/county:01/ed:mogotio,Mogotio
ocd-division/country:ke/county:01/ed:tiaty,Tiaty
ocd-division/country:ke/county:02,Bomet
ocd-division/country:ke/county:02/ed:bomet_central,Bomet Central
ocd-division/country:ke/county:02/ed:bomet_east,Bomet East
ocd-division/country:ke/county:02/ed:chepalungu,Chepalungu
ocd-division/country:ke/county:02/ed:konoin,Konoin
ocd-division/country:ke/county:02/ed:sotik,Sotik
ocd-division/country:ke/county:03,Bungoma
ocd-division/country:ke/county:03/ed:bumula,Bumula
ocd-division/country:ke/county:03/ed:kabuchai,Kabuchai
ocd-division/country:ke/county:03/ed:kanduyi,Kanduyi
ocd-division/country:ke/county:03/ed:kimilili,Kimilili
ocd-division/country:ke/county:03/ed:mount_elgon,Mount Elgon
ocd-division/country:ke/county:03/ed:sirisia,Sirisia
ocd-division/country:ke/county:03/ed:tongaren,Tongaren
ocd-division/country:ke/county:03/ed:webuye_east,Webuye East
ocd-division/country:ke/county:03/ed:webuye_west,Webuye West
ocd-division/country:ke/county:04,Busia
ocd-division/country:ke/county:04/ed:budalangi,Budalangi
ocd-division/country:ke/county:04/ed:butula,Butula
ocd-division/country:ke/county:04/ed:funyula,Funyula
ocd-division/country:ke/county:04/ed:matayos,Matayos
ocd-division/country:ke/county:04/ed:nambale,Nambale
ocd-division/country:ke/county:04/ed:teso_north,Teso North
ocd-division/country:ke/county:04/ed:teso_south,Teso South
ocd-division/country:ke/county:05,Elgeyo/Marakwet
ocd-division/country:ke/county:05/ed:keiyo_north,Keiyo North
ocd-division/country:ke/county:05/ed:keiyo_south,Keiyo South
ocd-division/country:ke/county:05/ed:marakwet_east,Marakwet East
ocd-division/country:ke/county:05/ed:marakwet_west,Marakwet West
ocd-division/country:ke/county:06,Embu
ocd-division/country:ke/county:06/ed:manyatta,Manyatta
ocd-division/country:ke/county:06/ed:mbeere_north,Mbeere North
ocd-division/country:ke/county:06/ed:mbeere_south,Mbeere South
ocd-division/country:ke/county:06/ed:runyenjes,Runyenjes
ocd-division/country:ke/county:07,Garissa
ocd-division/country:ke/county:07/ed:balambala,Balambala
ocd-division/country:ke/county:07/ed:dadaab,Dadaab
ocd-division/country:ke/county:07/ed:fafi,Fafi
ocd-division/country:ke/county:07/ed:garissa_tonwship,Garissa Township
ocd-division/country:ke/county:07/ed:ijara,Ijara
ocd-division/country:ke/county:07/ed:lagdera,Lagdera
ocd-division/country:ke/county:08,Homa Bay
ocd-division/country:ke/county:08/ed:homa_bay_town,Homa Bay Town
ocd-division/country:ke/county:08/ed:kabondo_kasipul,Kabondo Kasipul
ocd-division/country:ke/county:08/ed:karachuonyo,Karachuonyo
ocd-division/country:ke/county:08/ed:kasipul,Kasipul
ocd-division/country:ke/county:08/ed:mbita,Mbita
ocd-division/country:ke/county:08/ed:ndhiwa,Ndhiwa
ocd-division/country:ke/county:08/ed:rangwe,Rangwe
ocd-division/country:ke/county:08/ed:suba,Suba
ocd-division/country:ke/county:09,Isiolo
ocd-division/country:ke/county:09/ed:isiolo_north,Isiolo North
ocd-division/country:ke/county:09/ed:isiolo_south,Isiolo South
ocd-division/country:ke/county:10,Kajiado
ocd-division/country:ke/county:10/ed:kajiado_central,Kajiado Central
ocd-division/country:ke/county:10/ed:kajiado_east,Kajiado East
ocd-division/country:ke/county:10/ed:kajiado_north,Kajiado North
ocd-division/country:ke/county:10/ed:kajiado_south,Kajiado South
ocd-division/country:ke/county:10/ed:kajiado_west,Kajiado West
ocd-division/country:ke/county:11,Kakamega
ocd-division/country:ke/county:11/ed:butere,Butere
ocd-division/country:ke/county:11/ed:ikolomani,Ikolomani
ocd-division/country:ke/county:11/ed:khwisero,Khwisero
ocd-division/country:ke/county:11/ed:likuyani,Likuyani
ocd-division/country:ke/county:11/ed:lugari,Lugari
ocd-division/country:ke/county:11/ed:lurambi,Lurambi
ocd-division/country:ke/county:11/ed:malava,Malava
ocd-division/country:ke/county:11/ed:matungu,Matungu
ocd-division/country:ke/county:11/ed:mumias_east,Mumias East
ocd-division/country:ke/county:11/ed:mumias_west,Mumias West
ocd-division/country:ke/county:11/ed:navakholo,Navakholo
ocd-division/country:ke/county:11/ed:shinyalu,Shinyalu
ocd-division/country:ke/county:12,Kericho
ocd-division/country:ke/county:12/ed:ainamoi,Ainamoi
ocd-division/country:ke/county:12/ed:belgut,Belgut
ocd-division/country:ke/county:12/ed:bureti,Bureti
ocd-division/country:ke/county:12/ed:kipkelion_east,Kipkelion East
ocd-division/country:ke/county:12/ed:kipkelion_west,Kpkelion West
ocd-division/country:ke/county:12/ed:sigowet_soin,Sigowet-Soin
ocd-division/country:ke/county:13,Kiambu
ocd-division/country:ke/county:13/ed:gatundu_north,Gatundu North
ocd-division/country:ke/county:13/ed:gatundu_south,Gatundu South
ocd-division/country:ke/county:13/ed:githunguri,Githunguri
ocd-division/country:ke/county:13/ed:juja,Juja
ocd-division/country:ke/county:13/ed:kabete,Kabete
ocd-division/country:ke/county:13/ed:kiambaa,Kiambaa
ocd-division/country:ke/county:13/ed:kiambu,Kiambu
ocd-division/country:ke/county:13/ed:kikuyu,Kikuyu
ocd-division/country:ke/county:13/ed:lari,Lari
ocd-division/country:ke/county:13/ed:limuru,Limuru
ocd-division/country:ke/county:13/ed:ruiru,Ruiru
ocd-division/country:ke/county:13/ed:thika_town,Thika Town
ocd-division/country:ke/county:14,Kilifi
ocd-division/country:ke/county:14/ed:ganze,Ganze
ocd-division/country:ke/county:14/ed:kaloleni,Kaloleni
ocd-division/country:ke/county:14/ed:kilifi_north,Kilifi North
ocd-division/country:ke/county:14/ed:kilifi_south,Kilifi South
ocd-division/country:ke/county:14/ed:magarini,Magarini
ocd-division/country:ke/county:14/ed:malindi,Malindi
ocd-division/country:ke/county:14/ed:rabai,Rabai
ocd-division/country:ke/county:15,Kirinyaga
ocd-division/country:ke/county:15/ed:gichugu,Gichugu
ocd-division/country:ke/county:15/ed:kirinyaga_central,Kirinyaga Central
ocd-division/country:ke/county:15/ed:mwea,Mwea
ocd-division/country:ke/county:15/ed:ndia,Ndia
ocd-division/country:ke/county:16,Kisii
ocd-division/country:ke/county:16/ed:bobasi,Bobasi
ocd-division/country:ke/county:16/ed:bomachoge_borabu,Bomachoge Borabu
ocd-division/country:ke/county:16/ed:bomachoge_chache,Bomachoge Chache
ocd-division/country:ke/county:16/ed:bonchari,Bonchari
ocd-division/country:ke/county:16/ed:kitutu_chache_north,Kitutu Chache North
ocd-division/country:ke/county:16/ed:kitutu_chache_south,Kitutu Chache South
ocd-division/country:ke/county:16/ed:nyaribari_chache,Nyaribari Chache
ocd-division/country:ke/county:16/ed:nyaribari_masaba,Nyaribari Masaba
ocd-division/country:ke/county:16/ed:south_mugirango,South Mugirango
ocd-division/country:ke/county:17,Kisumu
ocd-division/country:ke/county:17/ed:kisumu_central,Kisumu Central
ocd-division/country:ke/county:17/ed:kisumu_east,Kisumu East
ocd-division/country:ke/county:17/ed:kisumu_west,Kisumu West
ocd-division/country:ke/county:17/ed:muhoroni,Muhoroni
ocd-division/country:ke/county:17/ed:nyakach,Nyakach
ocd-division/country:ke/county:17/ed:nyando,Nyando
ocd-division/country:ke/county:17/ed:seme,Seme
ocd-division/country:ke/county:18,Kitui
ocd-division/country:ke/county:18/ed:kitui_central,Kitui Central
ocd-division/country:ke/county:18/ed:kitui_east,Kitui East
ocd-division/country:ke/county:18/ed:kitui_rural,Kitui Rural
ocd-division/country:ke/county:18/ed:kitui_south,Kitui South
ocd-division/country:ke/county:18/ed:kitui_west,Kitui West
ocd-division/country:ke/county:18/ed:mwingi_central,Mwingi Central
ocd-division/country:ke/county:18/ed:mwingi_north,Mwingi North
ocd-division/country:ke/county:18/ed:mwingi_west,Mwingi West
ocd-division/country:ke/county:19,Kwale
ocd-division/country:ke/county:19/ed:kinango,Kinango
ocd-division/country:ke/county:19/ed:lunga_lunga,Lunga Lunga
ocd-division/country:ke/county:19/ed:matuga,Matuga
ocd-division/country:ke/county:19/ed:msambweni,Msambweni
ocd-division/country:ke/county:20,Laikipia
ocd-division/country:ke/county:20/ed:laikipia_east,Laikipia East
