id,name
ocd-division/country:fi/seutukunta:etelä-pirkanmaa,Etelä-Pirkanmaa
ocd-division/country:fi/seutukunta:forssa,Forssa
ocd-division/country:fi/seutukunta:haapavesi-siikalatva,Haapavesi-Siikalatva
ocd-division/country:fi/seutukunta:helsinki,Helsinki
ocd-division/country:fi/seutukunta:hämeenlinna,Hämeenlinna
ocd-division/country:fi/seutukunta:imatra,Imatra
ocd-division/country:fi/seutukunta:itä-lappi,Itä-Lappi
ocd-division/country:fi/seutukunta:jakobstadsregionen,Jakobstadsregionen
ocd-division/country:fi/seutukunta:joensuu,Joensuu
ocd-division/country:fi/seutukunta:joutsa,Joutsa
ocd-division/country:fi/seutukunta:jyväskylä,Jyväskylä
ocd-division/country:fi/seutukunta:jämsä,Jämsä
ocd-division/country:fi/seutukunta:järviseutu,Järviseutu
ocd-division/country:fi/seutukunta:kajaani,Kajaani
ocd-division/country:fi/seutukunta:kaustinen,Kaustinen
ocd-division/country:fi/seutukunta:kehys-kainuu,Kehys-Kainuu
ocd-division/country:fi/seutukunta:kemi-tornio,Kemi-Tornio
ocd-division/country:fi/seutukunta:keski-karjala,Keski-Karjala
ocd-division/country:fi/seutukunta:keuruu,Keuruu
ocd-division/country:fi/seutukunta:koillis-savo,Koillis-Savo
ocd-division/country:fi/seutukunta:koillismaa,Koillismaa
ocd-division/country:fi/seutukunta:kokkola,Kokkola
ocd-division/country:fi/seutukunta:kotka-hamina,Kotka-Hamina
ocd-division/country:fi/seutukunta:kouvola,Kouvola
ocd-division/country:fi/seutukunta:kuopio,Kuopio
ocd-division/country:fi/seutukunta:kuusiokunnat,Kuusiokunnat
ocd-division/country:fi/seutukunta:kyrönmaa,Kyrönmaa
ocd-division/country:fi/seutukunta:lahti,Lahti
ocd-division/country:fi/seutukunta:lappeenranta,Lappeenranta
ocd-division/country:fi/seutukunta:loimaa,Loimaa
ocd-division/country:fi/seutukunta:lounais-pirkanmaa,Lounais-Pirkanmaa
ocd-division/country:fi/seutukunta:loviisa,Loviisa
ocd-division/country:fi/seutukunta:luoteis-pirkanmaa,Luoteis-Pirkanmaa
ocd-division/country:fi/seutukunta:mariehamns_stad,Mariehamns stad
ocd-division/country:fi/seutukunta:mikkeli,Mikkeli
ocd-division/country:fi/seutukunta:nivala-haapajärvi,Nivala-Haapajärvi
ocd-division/country:fi/seutukunta:oulu,Oulu
ocd-division/country:fi/seutukunta:oulunkaari,Oulunkaari
ocd-division/country:fi/seutukunta:pieksämäki,Pieksämäki
ocd-division/country:fi/seutukunta:pielisen_karjala,Pielisen Karjala
ocd-division/country:fi/seutukunta:pohjois-lappi,Pohjois-Lappi
ocd-division/country:fi/seutukunta:pohjois-satakunta,Pohjois-Satakunta
ocd-division/country:fi/seutukunta:pori,Pori
ocd-division/country:fi/seutukunta:porvoo,Porvoo
ocd-division/country:fi/seutukunta:raahe,Raahe
ocd-division/country:fi/seutukunta:raasepori,Raasepori
ocd-division/country:fi/seutukunta:rauma,Rauma
ocd-division/country:fi/seutukunta:riihimäki,Riihimäki
ocd-division/country:fi/seutukunta:rovaniemi,Rovaniemi
ocd-division/country:fi/seutukunta:saarijärvi-viitasaari,Saarijärvi-Viitasaari
ocd-division/country:fi/seutukunta:salo,Salo
ocd-division/country:fi/seutukunta:savonlinna,Savonlinna
ocd-division/country:fi/seutukunta:seinäjoki,Seinäjoki
ocd-division/country:fi/seutukunta:sisä-savo,Sisä-Savo
ocd-division/country:fi/seutukunta:suupohja,Suupohja
ocd-division/country:fi/seutukunta:sydösterbotten,Sydösterbotten
ocd-division/country:fi/seutukunta:tampere,Tampere
ocd-division/country:fi/seutukunta:torniolaakso,Torniolaakso
ocd-division/country:fi/seutukunta:tunturi-lappi,Tunturi-Lappi
ocd-division/country:fi/seutukunta:turku,Turku
ocd-division/country:fi/seutukunta:vaasa,Vaasa
ocd-division/country:fi/seutukunta:vakka-suomi,Vakka-Suomi
ocd-division/country:fi/seutukunta:varkaus,Varkaus
ocd-division/country:fi/seutukunta:ylivieska,Ylivieska
ocd-division/country:fi/seutukunta:ylä-pirkanmaa,Ylä-Pirkanmaa
ocd-division/country:fi/seutukunta:ylä-savo,Ylä-Savo
ocd-division/country:fi/seutukunta:äänekoski,Äänekoski
ocd-division/country:fi/seutukunta:åboland-turunmaa,Åboland-Turunmaa
ocd-division/country:fi/seutukunta:ålands_landsbygd,Ålands landsbygd
ocd-division/country:fi/seutukunta:ålands_skärgård,Ålands skärgård
