id,name
ocd-division/country:si/upper:1,Ljubljana
ocd-division/country:si/upper:2,Kamnik
ocd-division/country:si/upper:3,Maribor
ocd-division/country:si/upper:4,Slovenska Bistrica
ocd-division/country:si/upper:5,Celje
ocd-division/country:si/upper:6,Velenje
ocd-division/country:si/upper:7,Ptuj
ocd-division/country:si/upper:8,Ljutomer
ocd-division/country:si/upper:9,Kranj
ocd-division/country:si/upper:10,Jesenice
ocd-division/country:si/upper:11,Murska Sobota
ocd-division/country:si/upper:12,Nova Gorica
ocd-division/country:si/upper:13,Tolmin
ocd-division/country:si/upper:14,Novo mesto
ocd-division/country:si/upper:15,Črnomelj
ocd-division/country:si/upper:16,Sežana
ocd-division/country:si/upper:17,Logatec
ocd-division/country:si/upper:18,Koper
ocd-division/country:si/upper:19,Slovenj Gradec
ocd-division/country:si/upper:20,Krško
ocd-division/country:si/upper:21,Trbovlje
ocd-division/country:si/upper:22,Grosuplje
